sbatch_run,rule_name,snakemake_jobid,slurm_jobid,submit_time,finish_time,status,mem_mb,runtime_min,cpus,wildcards,actual_duration_min,pct_runtime_used,cpu_efficiency,error_type,error_msg,log_path
run-1,get_ensembl,121,74085,2025-12-08 21:09,—,failed,64000,360,4,,,,,_BiomartException,Query ERROR: caught BioMart::Exception::Usage: Too many attributes selected for External References,babel_outputs/logs/rule_get_ensembl/74085.log
run-1,gene_hgnc_ids,122,74164,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_gene_hgnc_ids/74164.log
run-1,gene_omim_ids,123,74134,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_gene_omim_ids/74134.log
run-1,gene_mods_ids,124,74150,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_gene_mods_ids/74150.log
run-1,get_mods_labels,125,74124,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_mods_labels/74124.log
run-1,get_mods,126,74092,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_mods/74092.log
run-1,genefamily,128,74234,2025-12-08 21:30,2025-12-08 21:31,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_genefamily/74234.log
run-1,check_genefamily_completeness,129,74223,2025-12-08 21:29,2025-12-08 21:30,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_check_genefamily_completeness/74223.log
run-1,genefamily_compendia,130,74214,2025-12-08 21:28,2025-12-08 21:29,success,64000,120,4,,1.5,1.2,,,,babel_outputs/logs/rule_genefamily_compendia/74214.log
run-1,get_pantherfamily_labels,131,74135,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_pantherfamily_labels/74135.log
run-1,get_pantherfamily,132,74104,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_pantherfamily/74104.log
run-1,get_hgncfamily_labels,133,74139,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_hgncfamily_labels/74139.log
run-1,get_hgncfamily,134,74112,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_hgncfamily/74112.log
run-1,genefamily_pantherfamily_ids,135,74160,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_genefamily_pantherfamily_ids/74160.log
run-1,genefamily_hgncfamily_ids,136,74173,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_genefamily_hgncfamily_ids/74173.log
run-1,check_genefamily,137,74221,2025-12-08 21:29,2025-12-08 21:30,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_check_genefamily/74221.log
run-1,get_uniprotkb_labels,141,74278,2025-12-08 21:47,2025-12-08 22:03,success,64000,120,4,,16.5,13.8,,,,babel_outputs/logs/rule_get_uniprotkb_labels/74278.log
run-1,get_uniprotkb_sprot,142,74066,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_uniprotkb_sprot/74066.log
run-1,get_uniprotkb_trembl,143,74080,2025-12-08 21:09,2025-12-08 21:47,success,64000,120,4,,37.9,31.6,,,,babel_outputs/logs/rule_get_uniprotkb_trembl/74080.log
run-1,get_protein_uniprotkb_ensembl_relationships,144,74211,2025-12-08 21:26,2025-12-08 21:46,success,64000,120,4,,19.0,15.9,,,,babel_outputs/logs/rule_get_protein_uniprotkb_ensembl_relationships/74211.log
run-1,get_uniprotkb_idmapping,145,74086,2025-12-08 21:09,2025-12-08 21:26,success,64000,120,4,,17.5,14.6,,,,babel_outputs/logs/rule_get_uniprotkb_idmapping/74086.log
run-1,get_protein_pr_uniprotkb_relationships,146,74107,2025-12-08 21:09,2025-12-08 21:26,success,64000,120,4,,17.5,14.6,,,,babel_outputs/logs/rule_get_protein_pr_uniprotkb_relationships/74107.log
run-1,get_protein_ncit_uniprotkb_relationships,147,74131,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_protein_ncit_uniprotkb_relationships/74131.log
run-1,get_ncit,148,74089,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_ncit/74089.log
run-1,get_protein_ncit_umls_relationships,149,74203,2025-12-08 21:23,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_get_protein_ncit_umls_relationships/74203.log
run-1,protein_umls_ids,150,74194,2025-12-08 21:22,2025-12-08 21:23,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_protein_umls_ids/74194.log
run-1,get_protein_umls_relationships,151,74204,2025-12-08 21:23,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_get_protein_umls_relationships/74204.log
run-1,protein_uniprotkb_ids,153,74282,2025-12-08 22:03,2025-12-08 22:06,success,64000,120,4,,2.5,2.1,,,,babel_outputs/logs/rule_protein_uniprotkb_ids/74282.log
run-1,protein_pr_ids,154,74096,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_protein_pr_ids/74096.log
run-1,extract_taxon_ids_from_uniprotkb,155,74212,2025-12-08 21:26,2025-12-08 21:46,success,64000,120,4,,19.1,15.9,,,,babel_outputs/logs/rule_extract_taxon_ids_from_uniprotkb/74212.log
run-1,geneprotein_uniprot_relationships,156,74213,2025-12-08 21:26,2025-12-08 21:46,success,64000,120,4,,19.7,16.4,,,,babel_outputs/logs/rule_geneprotein_uniprot_relationships/74213.log
run-1,process,161,74257,2025-12-08 21:33,2025-12-08 21:33,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_process/74257.log
run-1,check_process_completeness,162,74251,2025-12-08 21:32,2025-12-08 21:33,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_check_process_completeness/74251.log
run-1,process_compendia,163,74216,2025-12-08 21:28,2025-12-08 21:32,success,64000,120,4,,4.2,3.5,,,,babel_outputs/logs/rule_process_compendia/74216.log
run-1,get_reactome_labels,164,74132,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_reactome_labels/74132.log
run-1,get_reactome,165,74069,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_reactome/74069.log
run-1,get_rhea_labels,166,74119,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_rhea_labels/74119.log
run-1,get_rhea,167,74076,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_rhea/74076.log
run-1,get_EC_labels,168,74122,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_EC_labels/74122.log
run-1,get_EC,169,74084,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_EC/74084.log
run-1,get_SMPDB_labels,170,74125,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_SMPDB_labels/74125.log
run-1,get_SMPDB,171,74090,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_SMPDB/74090.log
run-1,get_panther_pathway_labels,172,74128,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_panther_pathway_labels/74128.log
run-1,get_panther_pathways,173,74091,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_panther_pathways/74091.log
run-1,get_process_go_relationships,174,74100,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_process_go_relationships/74100.log
run-1,get_process_rhea_relationships,175,74130,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_process_rhea_relationships/74130.log
run-1,get_process_umls_relationships,176,74208,2025-12-08 21:23,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_get_process_umls_relationships/74208.log
run-1,process_umls_ids,177,74200,2025-12-08 21:22,2025-12-08 21:23,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_process_umls_ids/74200.log
run-1,process_go_ids,178,74072,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_process_go_ids/74072.log
run-1,process_reactome_ids,179,74121,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_process_reactome_ids/74121.log
run-1,process_rhea_ids,180,74154,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_process_rhea_ids/74154.log
run-1,process_ec_ids,181,74158,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_process_ec_ids/74158.log
